,?? Weekly Sprint Calendar (Aug 2025 – Apr 2026),
,,
Trading Week,Week Starting,Sprint
14,4-Aug-25,Sprint 1
15,11-Aug-25,Sprint 1
16,18-Aug-25,Sprint 2
17,25-Aug-25,Sprint 2
18,1-Sep-25,Sprint 3
19,8-Sep-25,Sprint 3
20,15-Sep-25,Sprint 4
21,22-Sep-25,Sprint 4
22,29-Sep-25,Sprint 5
23,6-Oct-25,Sprint 5
24,13-Oct-25,Sprint 6
25,20-Oct-25,Sprint 6
26,27-Oct-25,Sprint 7
27,3-Nov-25,Sprint 7
28,10-Nov-25,Sprint 8
29,17-Nov-25,Sprint 8
30,24-Nov-25,Sprint 9
31,1-Dec-25,Sprint 9
32,8-Dec-25,Sprint 10
33,15-Dec-25,Sprint 10
34,22-Dec-25,Sprint 11
35,29-Dec-25,Sprint 11
36,5-Jan-26,Sprint 12
37,12-Jan-26,Sprint 12
38,19-Jan-26,Sprint 13
39,26-Jan-26,Sprint 13
40,2-Feb-26,Sprint 14
41,9-Feb-26,Sprint 14
42,16-Feb-26,Sprint 15
43,23-Feb-26,Sprint 15
44,2-Mar-26,Sprint 16
45,9-Mar-26,Sprint 16
46,16-Mar-26,Sprint 17
47,23-Mar-26,Sprint 17
48,30-Mar-26,Sprint 18
49,6-Apr-26,Sprint 18
50,13-Apr-26,Sprint 19
51,20-Apr-26,Sprint 19
52,27-Apr-26,Sprint 20
